代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
002979,雷赛智能,32.78,-0.73,-0.24,0.00,6.70,0.91,5.57,4.80亿,2.17亿,71.05亿,52.26
600372,中航机载,12.20,-0.73,-0.09,0.00,0.49,1.25,1.47,2.84亿,47.57亿,580.33亿,36.81
002074,国轩高科,21.66,-0.73,-0.16,-0.14,0.92,0.90,2.57,3.49亿,17.24亿,373.43亿,70.99
603036,如通股份,16.23,-0.73,-0.12,-0.19,3.11,1.01,3.06,1.05亿,2.06亿,33.43亿,35.22
000596,古井贡酒,175.00,-0.74,-1.30,-0.03,0.54,0.75,2.01,3.91亿,4.09亿,715.05亿,14.62
688322,奥比中光-UW,43.00,-0.74,-0.32,-0.28,4.79,0.95,5.36,5.34亿,2.57亿,110.54亿,亏损
688091,上海谊众,40.01,-0.74,-0.30,-0.13,0.81,0.78,3.20,6753.44万,2.07亿,82.66亿,178.81
003033,征和工业,27.95,-0.75,-0.21,0.04,2.84,1.81,5.47,6529.72万,8059.81万,22.53亿,17.53
301269,华大九天,128.45,-0.75,-0.97,0.00,2.50,1.02,3.34,8.44亿,2.62亿,336.95亿,893.42
600577,精达股份,7.84,-0.76,-0.06,0.51,15.96,1.55,8.86,27.08亿,21.09亿,165.32亿,29.82
601866,中远海发,2.59,-0.77,-0.02,0.00,0.57,0.75,1.92,1.44亿,96.83亿,250.78亿,19.10
002737,葵花药业,20.74,-0.77,-0.16,0.05,1.29,1.53,2.82,1.58亿,5.84亿,121.12亿,15.48
000895,双汇发展,25.83,-0.77,-0.20,-0.08,0.33,0.70,1.73,2.95亿,34.64亿,894.78亿,17.64
000830,鲁西化工,11.60,-0.77,-0.09,0.00,0.67,0.96,1.62,1.49亿,19.04亿,220.81亿,10.55
002891,中宠股份,32.23,-0.77,-0.25,0.00,1.44,0.75,2.99,1.38亿,2.94亿,94.79亿,25.21
600757,长江传媒,8.95,-0.78,-0.07,0.00,1.23,0.76,1.89,1.34亿,12.13亿,108.61亿,11.82
002015,协鑫能科,7.67,-0.78,-0.06,-0.13,0.89,0.92,2.33,1.12亿,16.23亿,124.51亿,15.41
688005,容百科技,33.16,-0.78,-0.26,-0.18,2.26,1.06,3.53,2.40亿,3.15亿,104.60亿,103.21
300294,博雅生物,30.54,-0.78,-0.24,-0.07,0.78,1.01,1.36,1.20亿,5.04亿,154.00亿,27.99
603639,海利尔,12.69,-0.78,-0.10,0.00,0.52,1.04,1.88,2252.47万,3.40亿,43.10亿,16.52
600089,特变电工,12.51,-0.79,-0.10,0.00,0.97,1.06,2.30,6.23亿,50.53亿,632.10亿,11.03
001227,兰州银行,2.49,-0.80,-0.02,0.00,3.88,1.39,2.39,2.69亿,27.68亿,68.93亿,7.12
600549,厦门钨业,19.86,-0.80,-0.16,-0.05,0.67,0.67,2.20,1.91亿,14.15亿,280.95亿,16.86
688472,阿特斯,12.39,-0.80,-0.10,0.00,1.89,0.99,2.96,3.26亿,13.82亿,171.22亿,17.53
300059,东方财富,25.90,-0.80,-0.21,0.00,2.64,0.82,2.49,91.78亿,133.59亿,3460.05亿,50.75
300145,中金环境,3.69,-0.81,-0.03,0.00,6.49,1.36,7.26,4.65亿,19.04亿,70.28亿,21.11
601158,重庆水务,4.92,-0.81,-0.04,0.20,0.17,0.87,1.21,4100.72万,48.00亿,236.16亿,24.29
603053,成都燃气,9.71,-0.82,-0.08,-0.10,0.41,0.96,1.53,3595.75万,8.89亿,86.31亿,15.42
600502,安徽建工,4.84,-0.82,-0.04,-0.21,1.04,0.91,1.84,8698.68万,17.17亿,83.08亿,6.48
002461,珠江啤酒,9.59,-0.83,-0.08,0.10,0.38,0.88,2.07,8096.98万,22.13亿,212.26亿,19.74
000060,中金岭南,4.79,-0.83,-0.04,0.00,1.05,1.03,1.66,1.89亿,37.37亿,179.02亿,16.80
000799,酒鬼酒,56.30,-0.83,-0.47,0.00,1.48,0.77,2.55,2.74亿,3.25亿,182.94亿,242.89
300956,英力股份,19.12,-0.83,-0.16,0.11,19.30,2.17,10.53,3.43亿,8951.69万,17.12亿,417.71
000966,长源电力,4.78,-0.83,-0.04,0.21,0.73,0.76,1.87,9616.44万,27.49亿,131.42亿,13.74
688029,南微医学,69.00,-0.83,-0.58,-0.04,0.94,1.02,1.84,1.23亿,1.88亿,129.61亿,21.55
002202,金风科技,10.69,-0.83,-0.09,0.28,0.90,1.07,2.32,3.29亿,33.94亿,362.84亿,18.90
000792,盐湖股份,16.54,-0.84,-0.14,-0.12,0.50,0.69,2.22,4.55亿,54.33亿,898.58亿,21.45
