代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
600027,华电国际,5.76,3.04,0.17,0.00,1.51,2.00,4.47,7.36亿,85.10亿,490.19亿,8.57
601288,农业银行,5.19,2.98,0.15,0.00,0.22,1.38,3.17,35.85亿,3192.44亿,16568.78亿,6.36
000680,山推股份,9.76,2.95,0.28,0.00,2.36,1.37,7.49,3.02亿,13.08亿,127.66亿,16.29
688603,天承科技,132.00,2.95,3.78,-0.38,4.08,1.30,8.55,1.15亿,2106.46万,27.81亿,100.68
300671,富满微,44.55,2.93,1.27,0.02,10.82,0.98,6.93,10.49亿,2.17亿,96.66亿,亏损
603699,纽威股份,22.25,2.91,0.63,0.00,0.91,1.71,5.04,1.53亿,7.55亿,167.92亿,15.34
002122,汇洲智能,5.67,2.90,0.16,0.00,35.16,1.96,16.15,40.56亿,19.88亿,112.70亿,123.85
600864,哈投股份,7.45,2.90,0.21,0.00,5.09,1.86,7.32,7.74亿,20.81亿,155.00亿,43.71
300154,瑞凌股份,10.68,2.89,0.30,0.00,13.08,1.66,10.69,4.39亿,3.15亿,33.67亿,25.17
600685,中船防务,24.95,2.89,0.70,0.08,2.40,1.97,6.06,4.86亿,8.21亿,204.95亿,141.25
601857,中国石油,8.58,2.88,0.24,0.00,0.14,1.52,3.00,19.10亿,1619.22亿,13892.91亿,8.89
300153,科泰电源,12.60,2.86,0.35,1.78,27.46,1.46,12.49,10.89亿,3.18亿,40.11亿,120.79
000651,格力电器,44.49,2.84,1.23,0.00,1.26,2.01,3.21,30.69亿,55.15亿,2453.82亿,8.51
605118,力鼎光电,18.13,2.84,0.50,-0.11,3.09,2.80,5.56,2.25亿,4.07亿,73.81亿,47.84
001965,招商公路,13.43,2.83,0.37,0.00,0.35,1.04,4.21,3.21亿,68.20亿,915.97亿,16.51
600312,平高电气,19.61,2.83,0.54,0.00,2.43,1.55,5.45,6.50亿,13.57亿,266.09亿,23.29
300561,汇金科技,52.59,2.81,1.44,0.02,27.64,0.88,7.68,26.20亿,1.80亿,94.84亿,亏损
300441,鲍斯股份,9.98,2.78,0.27,0.00,10.95,1.94,9.78,6.91亿,6.27亿,62.57亿,6.86
600398,海澜之家,6.67,2.77,0.18,0.00,1.92,1.49,5.70,6.13亿,48.03亿,320.34亿,12.59
688408,中信博,72.24,2.77,1.95,-0.52,1.72,1.46,6.17,2.53亿,2.02亿,146.20亿,27.71
603489,八方股份,27.63,2.75,0.74,0.00,3.57,1.66,7.92,2.26亿,2.35亿,64.93亿,95.01
301089,拓新药业,31.60,2.73,0.84,0.03,6.79,2.66,8.88,1.94亿,9097.55万,28.75亿,亏损
300323,华灿光电,7.96,2.71,0.21,-0.25,23.78,6.86,11.36,17.11亿,8.79亿,69.98亿,亏损
000921,海信家电,30.15,2.66,0.78,-0.03,1.38,1.34,4.36,3.78亿,9.12亿,274.92亿,11.22
600323,瀚蓝环境,23.25,2.65,0.60,-0.13,0.84,1.50,2.38,1.58亿,8.15亿,189.57亿,10.26
600642,申能股份,9.31,2.65,0.24,0.00,0.96,1.58,5.18,4.41亿,48.79亿,454.24亿,10.42
000581,威孚高科,18.72,2.63,0.48,0.00,4.42,5.70,5.32,6.87亿,8.24亿,154.22亿,10.96
600023,浙能电力,5.87,2.62,0.15,0.00,0.57,1.16,3.50,4.45亿,134.09亿,787.09亿,8.81
601398,工商银行,6.70,2.60,0.17,-0.15,0.18,1.30,3.52,32.54亿,2696.12亿,18064.02亿,6.66
